product_id,price,promotion_name,sales_country
1138884,1500.4,Bag Stuffers,USA
1317333,1800.51,Cash Register Lottery,USA
1127801,300.08,High Roller Savings,USA
1173702,3000.85,Cash Register Lottery,USA
1337046,60.6,Double Down Sale,USA
1227836,1500.4,Double Down Sale,USA
1121056,40.66,Cash Register Lottery,USA
1293112,600.16,Cash Register Lottery,USA
1293455,900.24,Cash Register Lottery,USA
1326945,600.16,High Roller Savings,USA
1306368,10.46,Green Light Days,USA
1139207,15.15,Bag Stuffers,USA
1640508,143.36,Big Time Savings,USA
1179802,600.16,Bag Stuffers,USA
1336189,600.16,Price Savers,USA
1688768,3000.85,Cash Register Lottery,USA
1294687,30.3,Price Slashers,USA
1195744,15.69,Bag Stuffers,USA
1993048,600.16,Dollar Days,USA
1992454,143.36,Two Day Sale,USA
1183746,300.08,Super Duper Savers,USA
1412481,5.23,Weekend Markdown,USA
1823067,600.16,Super Duper Savers,USA
1252275,5250,Dollar Cutters,USA
1174250,75.75,Sales Galore,USA
1195396,71.68,Big Promo,USA
1196704,203.3,Big Promo,USA
1217053,2400.68,Big Promo,USA
1655874,1800.51,Weekend Markdown,USA
1209744,121.98,Price Savers,USA
1161949,107.52,Free For All,USA
1331891,300.08,Double Down Sale,USA
1768348,1800.51,Super Duper Savers,USA
1109053,1200.32,Super Duper Savers,USA
1167211,2400.68,Super Duper Savers,USA
1339732,5.23,Super Duper Savers,USA
1147062,1500.4,Big Promo,USA
1187519,600.16,Price Savers,USA
1106674,600.16,Dollar Days,USA
1473411,300.08,Double Down Sale,USA
1246550,15.69,Savings Galore,USA
1138674,81.32,Unbeatable Price Savers,USA
1752693,121.98,Weekend Markdown,USA
1826174,2400.68,Weekend Markdown,USA
1296025,1800.51,Big Promo,USA
1117291,75.75,Price Slashers,USA
1267193,121.98,Big Time Savings,USA
1205366,1200.32,Savings Galore,USA
1269690,121.98,Two Day Sale,USA
1304265,75.75,Price Smashers,USA
1246562,203.3,Super Duper Savers,USA
1202367,45.45,Shelf Clearing Days,USA
1664787,81.32,Weekend Markdown,USA
1160777,4200,Weekend Markdown,USA
1137794,15.69,Two Day Sale,USA
1148377,300.08,Two Day Sale,USA
1258195,71.68,Double Down Sale,USA
1300213,1200.32,Unbeatable Price Savers,USA
1263803,15.69,Sales Days,USA
1335713,60.6,Go For It,USA
1133061,1500.4,Super Savers,USA
1207205,300.08,Super Duper Savers,USA
1209289,1200.32,Wallet Savers,USA
1157285,1200.32,Super Savers,USA
1218590,162.64,Save-It Sale,USA
1181109,107.52,Savings Galore,USA
1221715,15.69,Price Destroyers,USA
1204979,58.65,Savings Galore,USA
1115146,203.3,Double Down Sale,USA
1883721,5250,Super Savers,USA
1402376,3000.85,Super Savers,USA
1251356,162.64,Two for One,USA
1292239,26.15,Two for One,USA
1276526,3000.85,Big Time Discounts,USA
1260525,107.52,Price Savers,USA
1870944,35.19,Two for One,USA
1739573,1500.4,Price Savers,USA
1115870,2400.68,Shelf Emptiers,USA
1190444,26.15,Weekend Markdown,USA
1309552,20.92,Bye Bye Baby,USA
1306076,71.68,Dollar Days,USA
1321683,162.64,Save-It Sale,USA
1151332,23.46,One Day Sale,USA
1340014,600.16,One Day Sale,USA
1249424,5.23,Fantastic Discounts,USA
1227716,10.46,Shelf Emptiers,USA
1140663,1500.4,Two Day Sale,USA
1253242,3000.85,Shelf Emptiers,USA
1108359,5.23,Saving Days,USA
1195567,1200.32,Bye Bye Baby,USA
1289643,2100,High Roller Savings,USA
1722319,35.84,Two Day Sale,USA
1317105,58.65,Save-It Sale,USA
1215721,81.32,Shelf Emptiers,USA
1154469,107.52,Bye Bye Baby,USA
1172458,600.16,One Day Sale,USA
1297270,1500.4,One Day Sale,USA
