product_id,promotion_name,sales_country,sales_volume,negative_comment,price,invoice_date,supplier,brand_name
1138884,Bag Stuffers,USA,28,5,1500.4,5/8/2022,Kanyon,Carrington
1317333,Cash Register Lottery,USA,21,3,1800.51,12/12/2021,Forum Istanbul,Carrington
1127801,High Roller Savings,USA,20,1,300.08,9/11/2021,Metrocity,Carrington
1173702,Cash Register Lottery,USA,66,5,3000.85,16/05/2021,Metropol AVM,Carrington
1337046,Double Down Sale,USA,53,4,60.6,24/10/2021,Kanyon,Golden
1227836,Double Down Sale,USA,28,5,1500.4,24/05/2022,Forum Istanbul,Golden
1121056,Cash Register Lottery,USA,49,1,40.66,13/03/2022,Istinye Park,Golden
1293112,Cash Register Lottery,USA,32,2,600.16,13/01/2021,Mall of Istanbul,Imagine
1293455,Cash Register Lottery,USA,69,3,900.24,4/11/2021,Metrocity,Golden
1326945,High Roller Savings,USA,60,2,600.16,22/08/2021,Kanyon,Big Time
1306368,Green Light Days,USA,36,2,10.46,25/12/2022,Metrocity,Big Time
1139207,Bag Stuffers,USA,29,1,15.15,28/10/2022,Emaar Square Mall,PigTail
1640508,Big Time Savings,USA,67,4,143.36,31/07/2022,Metrocity,Golden
1179802,Bag Stuffers,USA,25,2,600.16,17/11/2022,Cevahir AVM,PigTail
1336189,Price Savers,USA,67,2,600.16,3/6/2022,Kanyon,Imagine
1688768,Cash Register Lottery,USA,24,5,3000.85,7/11/2021,Viaport Outlet,PigTail
1294687,Price Slashers,USA,65,2,30.3,16/01/2021,Metrocity,Imagine
1195744,Bag Stuffers,USA,42,3,15.69,5/1/2022,Zorlu Center,PigTail
1993048,Dollar Days,USA,46,2,600.16,26/07/2021,Metropol AVM,Carrington
1992454,Two Day Sale,USA,24,4,143.36,7/3/2023,Cevahir AVM,Carrington
1183746,Super Duper Savers,USA,23,1,300.08,15/02/2023,Emaar Square Mall,Carrington
1412481,Weekend Markdown,USA,27,1,5.23,1/5/2021,Cevahir AVM,Carrington
1823067,Super Duper Savers,USA,52,2,600.16,18/06/2022,Cevahir AVM,PigTail
1252275,Dollar Cutters,USA,44,5,5250,26/10/2021,Kanyon,Golden
1174250,Sales Galore,USA,42,5,75.75,16/12/2022,Metrocity,Golden
1195396,Big Promo,USA,51,2,71.68,16/05/2021,Istinye Park,Big Time
1196704,Big Promo,USA,25,5,203.3,20/04/2022,Mall of Istanbul,PigTail
1217053,Big Promo,USA,50,4,2400.68,10/10/2022,Emaar Square Mall,Big Time
1655874,Weekend Markdown,USA,65,3,1800.51,23/08/2022,Cevahir AVM,Imagine
1209744,Price Savers,USA,29,3,121.98,29/04/2021,Istinye Park,Imagine
1161949,Free For All,USA,66,3,107.52,4/7/2022,Mall of Istanbul,
1331891,Double Down Sale,USA,23,1,300.08,21/11/2021,Emaar Square Mall,Big Time
1768348,Super Duper Savers,USA,32,3,1800.51,23/02/2022,Kanyon,PigTail
1109053,Super Duper Savers,USA,51,4,1200.32,11/7/2021,Metrocity,Golden
1167211,Super Duper Savers,USA,66,4,2400.68,30/08/2022,Zorlu Center,Imagine
1339732,Super Duper Savers,USA,68,1,5.23,4/1/2023,Emaar Square Mall,Imagine
1147062,Big Promo,USA,43,5,1500.4,21/06/2022,Kanyon,Imagine
1187519,Price Savers,USA,59,2,600.16,8/7/2022,Metrocity,Golden
1106674,Dollar Days,USA,54,2,600.16,27/02/2022,Kanyon,Imagine
1473411,Double Down Sale,USA,24,1,300.08,19/12/2022,Metropol AVM,PigTail
1246550,Savings Galore,USA,49,3,15.69,10/9/2021,Zorlu Center,Carrington
1138674,Unbeatable Price Savers,USA,67,2,81.32,14/02/2022,Metropol AVM,Carrington
1752693,Weekend Markdown,USA,48,3,121.98,28/04/2022,Metrocity,Carrington
1826174,Weekend Markdown,USA,40,4,2400.68,20/06/2022,Metrocity,Carrington
1296025,Big Promo,USA,41,3,1800.51,21/04/2022,Kanyon,Carrington
1117291,Price Slashers,USA,46,5,75.75,9/12/2022,Zorlu Center,Carrington
1267193,Big Time Savings,USA,19,3,121.98,12/1/2023,Mall of Istanbul,Big Time
1205366,Savings Galore,USA,43,4,1200.32,7/11/2022,Zorlu Center,Imagine
1269690,Two Day Sale,USA,18,3,121.98,7/2/2022,Zorlu Center,Big Time
1304265,Price Smashers,USA,22,5,75.75,13/06/2021,Forum Istanbul,Big Time
1246562,Super Duper Savers,USA,61,5,203.3,23/08/2021,Emaar Square Mall,Imagine
1202367,Shelf Clearing Days,USA,41,3,45.45,24/02/2023,Istinye Park,Big Time
1664787,Weekend Markdown,USA,53,2,81.32,12/1/2023,Istinye Park,Big Time
1160777,Weekend Markdown,USA,43,4,4200,22/02/2022,Metrocity,Big Time
1137794,Two Day Sale,USA,45,3,15.69,12/3/2021,Viaport Outlet,Imagine
1148377,Two Day Sale,USA,29,1,300.08,2/1/2022,Istinye Park,Big Time
1258195,Double Down Sale,USA,43,2,71.68,26/11/2021,Kanyon,PigTail
1300213,Unbeatable Price Savers,USA,19,4,1200.32,21/04/2021,Kanyon,Big Time
1263803,Sales Days,USA,67,3,15.69,23/06/2021,Kanyon,Golden
1335713,Go For It,USA,36,4,60.6,14/12/2021,Kanyon,Carrington
1133061,Super Savers,USA,64,5,1500.4,9/6/2022,Mall of Istanbul,Carrington
1207205,Super Duper Savers,USA,33,1,300.08,26/11/2021,Kanyon,Carrington
1209289,Wallet Savers,USA,33,4,1200.32,5/2/2021,Kanyon,Carrington
1157285,Super Savers,USA,66,4,1200.32,6/3/2022,Mall of Istanbul,PigTail
1218590,Save-It Sale,USA,29,4,162.64,9/5/2022,Metropol AVM,Big Time
1181109,Savings Galore,USA,22,3,107.52,17/10/2022,Mall of Istanbul,PigTail
1221715,Price Destroyers,USA,63,3,15.69,22/01/2022,Cevahir AVM,PigTail
1204979,Savings Galore,USA,24,5,58.65,14/03/2021,Istinye Park,Imagine
1115146,Double Down Sale,USA,24,5,203.3,27/04/2022,Metrocity,Golden
1883721,Super Savers,USA,44,5,5250,19/11/2021,Mall of Istanbul,Imagine
1402376,Super Savers,USA,34,5,3000.85,10/9/2022,Forum Istanbul,Big Time
1251356,Two for One,USA,47,4,162.64,4/9/2021,Kanyon,Golden
1292239,Two for One,USA,38,5,26.15,21/08/2022,Mall of Istanbul,Big Time
1276526,Big Time Discounts,USA,57,5,3000.85,2/10/2021,Emaar Square Mall,Carrington
1260525,Price Savers,USA,67,3,107.52,7/1/2023,Emaar Square Mall,Imagine
1870944,Two for One,USA,41,3,35.19,8/6/2021,Cevahir AVM,Big Time
1739573,Price Savers,USA,40,5,1500.4,17/04/2021,Kanyon,Golden
1115870,Shelf Emptiers,USA,69,4,2400.68,4/9/2021,Metrocity,PigTail
1190444,Weekend Markdown,USA,47,5,26.15,20/07/2022,Mall of Istanbul,Big Time
1309552,Bye Bye Baby,USA,53,4,20.92,14/07/2021,Istinye Park,Golden
1306076,Dollar Days,USA,40,2,71.68,1/11/2022,Emaar Square Mall,PigTail
1321683,Save-It Sale,USA,60,4,162.64,6/1/2023,Metrocity,Imagine
1151332,One Day Sale,USA,30,2,23.46,25/03/2021,Kanyon,Carrington
1340014,One Day Sale,USA,66,2,600.16,8/9/2022,Istinye Park,Carrington
1249424,Fantastic Discounts,USA,22,1,5.23,18/02/2022,Mall of Istanbul,Carrington
